experiencia,episodio,passos,recompensa_total,recompensa_descontada,sucesso
Farol_QL_Treino,1,100,-100.00,-63.396766,0
Farol_QL_Treino,2,100,-100.00,-63.396766,0
Farol_QL_Treino,3,100,-100.00,-63.396766,0
Farol_QL_Treino,4,100,-100.00,-63.396766,0
Farol_QL_Treino,5,100,-100.00,-63.396766,0
Farol_QL_Treino,6,100,-100.00,-63.396766,0
Farol_QL_Treino,7,100,-100.00,-63.396766,0
Farol_QL_Treino,8,100,-100.00,-63.396766,0
Farol_QL_Treino,9,100,-100.00,-63.396766,0
Farol_QL_Treino,10,100,-100.00,-63.396766,0
Farol_QL_Treino,11,33,68.00,44.996067,1
Farol_QL_Treino,12,100,-100.00,-63.396766,0
Farol_QL_Treino,13,100,-100.00,-63.396766,0
Farol_QL_Treino,14,100,-100.00,-63.396766,0
Farol_QL_Treino,15,100,-100.00,-63.396766,0
Farol_QL_Treino,16,100,-100.00,-63.396766,0
Farol_QL_Treino,17,100,-100.00,-63.396766,0
Farol_QL_Treino,18,96,5.00,-23.020784,1
Farol_QL_Treino,19,100,-100.00,-63.396766,0
Farol_QL_Treino,20,100,-100.00,-63.396766,0
Farol_QL_Treino,21,100,-100.00,-63.396766,0
Farol_QL_Treino,22,41,60.00,33.794352,1
Farol_QL_Treino,23,63,38.00,7.253645,1
Farol_QL_Treino,24,100,-100.00,-63.396766,0
Farol_QL_Treino,25,100,-100.00,-63.396766,0
Farol_QL_Treino,26,95,6.00,-22.243216,1
Farol_QL_Treino,27,73,28.00,-3.001726,1
Farol_QL_Treino,28,100,-100.00,-63.396766,0
Farol_QL_Treino,29,84,17.00,-13.153735,1
Farol_QL_Treino,30,100,-100.00,-63.396766,0
Farol_QL_Treino,31,100,-100.00,-63.396766,0
Farol_QL_Treino,32,79,22.00,-8.678050,1
Farol_QL_Treino,33,35,66.00,42.110645,1
Farol_QL_Treino,34,47,54.00,25.964726,1
Farol_QL_Treino,35,100,-100.00,-63.396766,0
Farol_QL_Treino,36,92,9.00,-19.863069,1
Farol_QL_Treino,37,100,-100.00,-63.396766,0
Farol_QL_Treino,38,100,-100.00,-63.396766,0
Farol_QL_Treino,39,39,62.00,36.510919,1
Farol_QL_Treino,40,52,49.00,19.791201,1
Farol_QL_Treino,41,64,37.00,6.181109,1
Farol_QL_Treino,42,98,3.00,-24.552671,1
Farol_QL_Treino,43,91,10.00,-19.053605,1
Farol_QL_Treino,44,60,41.00,10.536695,1
Farol_QL_Treino,45,75,26.00,-4.931992,1
Farol_QL_Treino,46,90,11.00,-18.235965,1
Farol_QL_Treino,47,27,74.00,54.008629,1
Farol_QL_Treino,48,100,-100.00,-63.396766,0
Farol_QL_Treino,49,100,-100.00,-63.396766,0
Farol_QL_Treino,50,31,70.00,47.940075,1
Farol_QL_Treino,51,44,57.00,29.820526,1
Farol_QL_Treino,52,100,-100.00,-63.396766,0
Farol_QL_Treino,53,76,25.00,-5.882672,1
Farol_QL_Treino,54,71,30.00,-1.032268,1
Farol_QL_Treino,55,100,1.00,-26.054072,1
Farol_QL_Treino,56,53,48.00,18.593289,1
Farol_QL_Treino,57,30,71.00,49.434419,1
Farol_QL_Treino,58,32,69.00,46.460674,1
Farol_QL_Treino,59,83,18.00,-12.276500,1
Farol_QL_Treino,60,42,59.00,32.456408,1
Farol_QL_Treino,61,44,57.00,29.820526,1
Farol_QL_Treino,62,61,40.00,9.431328,1
Farol_QL_Treino,63,35,66.00,42.110645,1
Farol_QL_Treino,64,100,-100.00,-63.396766,0
Farol_QL_Treino,65,35,66.00,42.110645,1
Farol_QL_Treino,66,77,24.00,-6.823845,1
Farol_QL_Treino,67,63,38.00,7.253645,1
Farol_QL_Treino,68,34,67.00,43.546107,1
Farol_QL_Treino,69,36,65.00,40.689539,1
Farol_QL_Treino,70,71,30.00,-1.032268,1
Farol_QL_Treino,71,46,55.00,27.237097,1
Farol_QL_Treino,72,24,77.00,58.722857,1
Farol_QL_Treino,73,47,54.00,25.964726,1
Farol_QL_Treino,74,66,35.00,4.068105,1
Farol_QL_Treino,75,24,77.00,58.722857,1
Farol_QL_Treino,76,87,14.00,-15.733156,1
Farol_QL_Treino,77,34,67.00,43.546107,1
Farol_QL_Treino,78,86,15.00,-14.881975,1
Farol_QL_Treino,79,34,67.00,43.546107,1
Farol_QL_Treino,80,24,77.00,58.722857,1
Farol_QL_Treino,81,34,67.00,43.546107,1
Farol_QL_Treino,82,72,29.00,-2.021945,1
Farol_QL_Treino,83,16,85.00,72.011671,1
Farol_QL_Treino,84,59,42.00,11.653228,1
Farol_QL_Treino,85,36,65.00,40.689539,1
Farol_QL_Treino,86,47,54.00,25.964726,1
Farol_QL_Treino,87,36,65.00,40.689539,1
Farol_QL_Treino,88,50,51.00,22.223448,1
Farol_QL_Treino,89,21,80.00,63.581388,1
Farol_QL_Treino,90,24,77.00,58.722857,1
Farol_QL_Treino,91,22,79.00,61.945574,1
Farol_QL_Treino,92,40,61.00,35.145810,1
Farol_QL_Treino,93,57,44.00,13.920240,1
Farol_QL_Treino,94,52,49.00,19.791201,1
Farol_QL_Treino,95,20,81.00,65.233725,1
Farol_QL_Treino,96,25,76.00,57.135628,1
Farol_QL_Treino,97,40,61.00,35.145810,1
Farol_QL_Treino,98,39,62.00,36.510919,1
Farol_QL_Treino,99,71,30.00,-1.032268,1
Farol_QL_Treino,100,23,78.00,60.326118,1
Farol_QL_Treino,101,95,6.00,-22.243216,1
Farol_QL_Treino,102,20,81.00,65.233725,1
Farol_QL_Treino,103,28,73.00,52.468543,1
Farol_QL_Treino,104,37,64.00,39.282644,1
Farol_QL_Treino,105,42,59.00,32.456408,1
Farol_QL_Treino,106,16,85.00,72.011671,1
Farol_QL_Treino,107,44,57.00,29.820526,1
Farol_QL_Treino,108,16,85.00,72.011671,1
Farol_QL_Treino,109,25,76.00,57.135628,1
Farol_QL_Treino,110,47,54.00,25.964726,1
Farol_QL_Treino,111,44,57.00,29.820526,1
Farol_QL_Treino,112,33,68.00,44.996067,1
Farol_QL_Treino,113,22,79.00,61.945574,1
Farol_QL_Treino,114,30,71.00,49.434419,1
Farol_QL_Treino,115,26,75.00,55.564272,1
Farol_QL_Treino,116,25,76.00,57.135628,1
Farol_QL_Treino,117,29,72.00,50.943857,1
Farol_QL_Treino,118,28,73.00,52.468543,1
Farol_QL_Treino,119,43,58.00,31.131844,1
Farol_QL_Treino,120,16,85.00,72.011671,1
Farol_QL_Treino,121,41,60.00,33.794352,1
Farol_QL_Treino,122,26,75.00,55.564272,1
Farol_QL_Treino,123,24,77.00,58.722857,1
Farol_QL_Treino,124,31,70.00,47.940075,1
Farol_QL_Treino,125,31,70.00,47.940075,1
Farol_QL_Treino,126,27,74.00,54.008629,1
Farol_QL_Treino,127,65,36.00,5.119298,1
Farol_QL_Treino,128,33,68.00,44.996067,1
Farol_QL_Treino,129,16,85.00,72.011671,1
Farol_QL_Treino,130,34,67.00,43.546107,1
Farol_QL_Treino,131,25,76.00,57.135628,1
Farol_QL_Treino,132,27,74.00,54.008629,1
Farol_QL_Treino,133,42,59.00,32.456408,1
Farol_QL_Treino,134,27,74.00,54.008629,1
Farol_QL_Treino,135,17,84.00,70.291554,1
Farol_QL_Treino,136,27,74.00,54.008629,1
Farol_QL_Treino,137,31,70.00,47.940075,1
Farol_QL_Treino,138,20,81.00,65.233725,1
Farol_QL_Treino,139,32,69.00,46.460674,1
Farol_QL_Treino,140,26,75.00,55.564272,1
Farol_QL_Treino,141,18,83.00,68.588639,1
Farol_QL_Treino,142,21,80.00,63.581388,1
Farol_QL_Treino,143,19,82.00,66.902752,1
Farol_QL_Treino,144,16,85.00,72.011671,1
Farol_QL_Treino,145,21,80.00,63.581388,1
Farol_QL_Treino,146,38,63.00,37.889817,1
Farol_QL_Treino,147,21,80.00,63.581388,1
Farol_QL_Treino,148,30,71.00,49.434419,1
Farol_QL_Treino,149,44,57.00,29.820526,1
Farol_QL_Treino,150,18,83.00,68.588639,1
Farol_QL_Treino,151,37,64.00,39.282644,1
Farol_QL_Treino,152,18,83.00,68.588639,1
Farol_QL_Treino,153,23,78.00,60.326118,1
Farol_QL_Treino,154,24,77.00,58.722857,1
Farol_QL_Treino,155,16,85.00,72.011671,1
Farol_QL_Treino,156,19,82.00,66.902752,1
Farol_QL_Treino,157,20,81.00,65.233725,1
Farol_QL_Treino,158,16,85.00,72.011671,1
Farol_QL_Treino,159,17,84.00,70.291554,1
Farol_QL_Treino,160,21,80.00,63.581388,1
Farol_QL_Treino,161,28,73.00,52.468543,1
Farol_QL_Treino,162,22,79.00,61.945574,1
Farol_QL_Treino,163,22,79.00,61.945574,1
Farol_QL_Treino,164,31,70.00,47.940075,1
Farol_QL_Treino,165,21,80.00,63.581388,1
Farol_QL_Treino,166,18,83.00,68.588639,1
Farol_QL_Treino,167,23,78.00,60.326118,1
Farol_QL_Treino,168,18,83.00,68.588639,1
Farol_QL_Treino,169,21,80.00,63.581388,1
