experiencia,episodio,passos,recompensa_total,recompensa_descontada,sucesso
Gen_Labirinto_Novelty,1,21,2177.00,0.000000,24
Gen_Labirinto_Novelty,2,22,2017.00,0.000000,92
Gen_Labirinto_Novelty,3,22,2017.00,0.000000,114
Gen_Labirinto_Novelty,4,22,2017.00,0.000000,130
Gen_Labirinto_Novelty,5,22,2017.00,0.000000,126
Gen_Labirinto_Novelty,6,22,2017.00,0.000000,122
Gen_Labirinto_Novelty,7,22,2017.00,0.000000,128
Gen_Labirinto_Novelty,8,22,2017.00,0.000000,131
Gen_Labirinto_Novelty,9,22,2017.00,0.000000,126
Gen_Labirinto_Novelty,10,22,2017.00,0.000000,134
Gen_Labirinto_Novelty,11,22,2017.00,0.000000,127
Gen_Labirinto_Novelty,12,22,2017.00,0.000000,125
Gen_Labirinto_Novelty,13,22,2017.00,0.000000,134
Gen_Labirinto_Novelty,14,22,2017.00,0.000000,122
Gen_Labirinto_Novelty,15,22,2017.00,0.000000,135
Gen_Labirinto_Novelty,16,22,2017.00,0.000000,122
Gen_Labirinto_Novelty,17,22,2017.00,0.000000,131
Gen_Labirinto_Novelty,18,22,2017.00,0.000000,131
Gen_Labirinto_Novelty,19,22,2017.00,0.000000,133
Gen_Labirinto_Novelty,20,22,2017.00,0.000000,135
Gen_Labirinto_Novelty,21,22,2017.00,0.000000,134
Gen_Labirinto_Novelty,22,22,2017.00,0.000000,135
Gen_Labirinto_Novelty,23,22,2017.00,0.000000,134
Gen_Labirinto_Novelty,24,22,2017.00,0.000000,137
Gen_Labirinto_Novelty,25,22,2017.00,0.000000,136
Gen_Labirinto_Novelty,26,22,2017.00,0.000000,139
Gen_Labirinto_Novelty,27,22,2017.00,0.000000,125
Gen_Labirinto_Novelty,28,22,2017.00,0.000000,133
Gen_Labirinto_Novelty,29,22,2017.00,0.000000,128
Gen_Labirinto_Novelty,30,22,2017.00,0.000000,128
Gen_Labirinto_Novelty,31,22,2017.00,0.000000,132
Gen_Labirinto_Novelty,32,22,2017.00,0.000000,140
Gen_Labirinto_Novelty,33,22,2017.00,0.000000,131
Gen_Labirinto_Novelty,34,22,2017.00,0.000000,126
Gen_Labirinto_Novelty,35,22,2017.00,0.000000,133
Gen_Labirinto_Novelty,36,22,2017.00,0.000000,135
Gen_Labirinto_Novelty,37,22,2017.00,0.000000,130
Gen_Labirinto_Novelty,38,22,2017.00,0.000000,138
Gen_Labirinto_Novelty,39,22,2017.00,0.000000,135
Gen_Labirinto_Novelty,40,22,2017.00,0.000000,136
Gen_Labirinto_Novelty,41,22,2017.00,0.000000,130
Gen_Labirinto_Novelty,42,22,2017.00,0.000000,134
Gen_Labirinto_Novelty,43,22,2017.00,0.000000,136
Gen_Labirinto_Novelty,44,22,2017.00,0.000000,127
Gen_Labirinto_Novelty,45,22,2017.00,0.000000,138
Gen_Labirinto_Novelty,46,22,2017.00,0.000000,129
Gen_Labirinto_Novelty,47,22,2017.00,0.000000,131
Gen_Labirinto_Novelty,48,22,2017.00,0.000000,131
Gen_Labirinto_Novelty,49,22,2017.00,0.000000,132
Gen_Labirinto_Novelty,50,22,2017.00,0.000000,136
Gen_Labirinto_Novelty,51,22,2017.00,0.000000,134
Gen_Labirinto_Novelty,52,22,2017.00,0.000000,140
Gen_Labirinto_Novelty,53,22,2017.00,0.000000,143
