experiencia,episodio,passos,recompensa_total,recompensa_descontada,sucesso
Labirinto_Treino,1,229,-428.00,-25.525503,1
Labirinto_Treino,2,239,-414.00,-27.767762,1
Labirinto_Treino,3,459,-866.00,-30.952633,1
Labirinto_Treino,4,333,-656.00,-28.219898,1
Labirinto_Treino,5,500,-1120.00,-29.611844,0
Labirinto_Treino,6,500,-1056.00,-31.651922,0
Labirinto_Treino,7,432,-907.00,-31.785638,1
Labirinto_Treino,8,251,-462.00,-28.067977,1
Labirinto_Treino,9,500,-944.00,-15.957139,0
Labirinto_Treino,10,251,-354.00,-15.645043,1
Labirinto_Treino,11,456,-927.00,-30.228581,1
Labirinto_Treino,12,308,-571.00,-28.000098,1
Labirinto_Treino,13,88,-119.00,-27.623360,1
Labirinto_Treino,14,17,56.00,-3.560534,1
Labirinto_Treino,15,222,-405.00,-28.059251,1
Labirinto_Treino,16,436,-871.00,-28.046060,1
Labirinto_Treino,17,422,-833.00,-29.137214,1
Labirinto_Treino,18,133,-196.00,-26.487950,1
Labirinto_Treino,19,56,-31.00,-27.669073,1
Labirinto_Treino,20,220,-455.00,-26.960311,1
Labirinto_Treino,21,241,-456.00,-27.629946,1
Labirinto_Treino,22,500,-956.00,-22.363401,0
Labirinto_Treino,23,500,-984.00,-25.595007,0
Labirinto_Treino,24,66,-57.00,-28.452901,1
Labirinto_Treino,25,500,-924.00,-20.735043,0
Labirinto_Treino,26,26,23.00,-20.595460,1
Labirinto_Treino,27,419,-650.00,-21.826720,1
Labirinto_Treino,28,500,-1092.00,-31.089862,0
Labirinto_Treino,29,152,-183.00,-13.292332,1
Labirinto_Treino,30,492,-1007.00,-28.239149,1
Labirinto_Treino,31,27,26.00,-21.846103,1
Labirinto_Treino,32,123,-178.00,-30.035243,1
Labirinto_Treino,33,395,-742.00,-27.526511,1
Labirinto_Treino,34,67,-26.00,-19.862931,1
Labirinto_Treino,35,500,-820.00,-20.362443,0
Labirinto_Treino,36,500,-888.00,-22.355755,0
Labirinto_Treino,37,93,-96.00,-27.977012,1
Labirinto_Treino,38,500,-1016.00,-24.305377,0
Labirinto_Treino,39,6,87.00,48.037900,1
Labirinto_Treino,40,185,-296.00,-28.048050,1
Labirinto_Treino,41,500,-1032.00,-29.829923,0
Labirinto_Treino,42,1,100.00,100.000000,1
Labirinto_Treino,43,77,-44.00,-12.752186,1
Labirinto_Treino,44,451,-618.00,-11.677326,1
Labirinto_Treino,45,28,29.00,-21.348188,1
Labirinto_Treino,46,208,-355.00,-27.601435,1
Labirinto_Treino,47,500,-1056.00,-29.729945,0
Labirinto_Treino,48,137,-152.00,-18.204716,1
Labirinto_Treino,49,115,-134.00,-26.541859,1
Labirinto_Treino,50,500,-1008.00,-26.978753,0
Labirinto_Treino,51,500,-1032.00,-28.649075,0
Labirinto_Treino,52,132,-175.00,-13.107120,1
Labirinto_Treino,53,500,-788.00,-15.229655,0
Labirinto_Treino,54,130,-177.00,-28.600090,1
Labirinto_Treino,55,479,-730.00,-17.826509,1
Labirinto_Treino,56,321,-660.00,-27.610026,1
Labirinto_Treino,57,500,-872.00,-19.333386,0
Labirinto_Treino,58,43,-14.00,-28.191665,1
Labirinto_Treino,59,211,-386.00,-26.967791,1
Labirinto_Treino,60,468,-751.00,-15.072635,1
Labirinto_Treino,61,500,-1060.00,-26.646746,0
Labirinto_Treino,62,23,42.00,-17.426120,1
Labirinto_Treino,63,85,-76.00,-23.375523,1
Labirinto_Treino,64,95,-102.00,-26.008599,1
Labirinto_Treino,65,500,-856.00,-12.141184,0
Labirinto_Treino,66,500,-888.00,-16.139345,0
Labirinto_Treino,67,3,94.00,75.100000,1
Labirinto_Treino,68,500,-1076.00,-30.288810,0
Labirinto_Treino,69,191,-310.00,-26.007491,1
Labirinto_Treino,70,500,-856.00,-11.060334,0
Labirinto_Treino,71,141,-196.00,-29.022935,1
Labirinto_Treino,72,1,100.00,100.000000,1
Labirinto_Treino,73,279,-354.00,-12.668258,1
Labirinto_Treino,74,100,-143.00,-29.193460,1
Labirinto_Treino,75,500,-804.00,-14.566369,0
Labirinto_Treino,76,500,-1148.00,-29.722626,0
Labirinto_Treino,77,356,-495.00,-20.471101,1
Labirinto_Treino,78,362,-637.00,-32.678091,1
Labirinto_Treino,79,128,-123.00,-15.614460,1
Labirinto_Treino,80,161,-276.00,-21.385022,1
Labirinto_Treino,81,500,-888.00,-13.786326,0
Labirinto_Treino,82,198,-225.00,-16.005841,1
Labirinto_Treino,83,127,-190.00,-28.260904,1
Labirinto_Treino,84,500,-792.00,-20.796178,0
Labirinto_Treino,85,500,-1016.00,-25.915727,0
Labirinto_Treino,86,461,-688.00,-14.748122,1
Labirinto_Treino,87,151,-246.00,-27.528420,1
Labirinto_Treino,88,56,-11.00,-16.347514,1
Labirinto_Treino,89,111,-130.00,-21.075196,1
Labirinto_Treino,90,30,47.00,-9.342968,1
Labirinto_Treino,91,235,-322.00,-15.627617,1
Labirinto_Treino,92,500,-840.00,-12.922486,0
Labirinto_Treino,93,487,-742.00,-13.731769,1
Labirinto_Treino,94,200,-359.00,-29.753219,1
Labirinto_Treino,95,466,-653.00,-18.383858,1
Labirinto_Treino,96,473,-920.00,-25.455214,1
Labirinto_Treino,97,4,97.00,70.190000,1
Labirinto_Treino,98,500,-880.00,-10.792728,0
Labirinto_Treino,99,3,94.00,75.500000,1
Labirinto_Treino,100,500,-896.00,-21.750541,0
Labirinto_Treino,101,500,-1060.00,-26.873985,0
Labirinto_Treino,102,139,-110.00,-11.016936,1
Labirinto_Treino,103,500,-816.00,-11.027977,0
Labirinto_Treino,104,393,-776.00,-26.687154,1
Labirinto_Treino,105,29,40.00,-13.298554,1
Labirinto_Treino,106,500,-880.00,-14.529639,0
Labirinto_Treino,107,134,-117.00,-17.155899,1
Labirinto_Treino,108,3,90.00,71.500000,1
Labirinto_Treino,109,41,0.00,-25.598493,1
Labirinto_Treino,110,63,-38.00,-26.218375,1
Labirinto_Treino,111,111,-162.00,-30.514635,1
Labirinto_Treino,112,393,-496.00,-12.376407,1
Labirinto_Treino,113,500,-844.00,-16.780225,0
Labirinto_Treino,114,500,-804.00,-12.548944,0
Labirinto_Treino,115,124,-139.00,-17.287751,1
Labirinto_Treino,116,67,-30.00,-14.070885,1
Labirinto_Treino,117,217,-264.00,-20.312763,1
Labirinto_Treino,118,9,88.00,34.989433,1
Labirinto_Treino,119,132,-163.00,-17.070804,1
Labirinto_Treino,120,1,100.00,100.000000,1
Labirinto_Treino,121,500,-844.00,-15.146314,0
Labirinto_Treino,122,197,-312.00,-27.793635,1
Labirinto_Treino,123,204,-363.00,-27.815020,1
Labirinto_Treino,124,125,-160.00,-27.465716,1
Labirinto_Treino,125,500,-968.00,-16.945967,0
Labirinto_Treino,126,500,-812.00,-16.938744,0
Labirinto_Treino,127,29,60.00,-6.201857,1
